type,title,description,director,n_directors,cast,n_cast_members,country,n_countries,main_country,continent,language,release_year,release_decade,date_added,year_added,delay_added,rating,rating_group,duration,duration_category,listed_in,n_genres,genre
Movie,Dick Johnson Is Dead,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",Kirsten Johnson,1,Not Informed,0,United States,1,United States,North America,English,2020,2020,2021-09-25,2021,1,PG-13,Teen,90,Feature Film,Documentaries,1,Documentary
TV Show,Blood & Water,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",Not Informed,0,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",19,South Africa,1,South Africa,Africa,English,2021,2020,2021-09-24,2021,0,TV-MA,Adult,2,Short Series,"International TV Shows, TV Dramas, TV Mysteries",3,International
TV Show,Ganglands,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",Julien Leclercq,1,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",9,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-24,2021,0,TV-MA,Adult,1,Limited Series,"Crime TV Shows, International TV Shows, TV Action & Adventure",3,Crime
TV Show,Jailbirds New Orleans,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",Not Informed,0,Not Informed,0,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-24,2021,0,TV-MA,Adult,1,Limited Series,"Docuseries, Reality TV",2,Documentary
TV Show,Kota Factory,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",Not Informed,0,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",8,India,1,India,Asia,Hindi,2021,2020,2021-09-24,2021,0,TV-MA,Adult,2,Short Series,"International TV Shows, Romantic TV Shows, TV Comedies",3,International
TV Show,Midnight Mass,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",Mike Flanagan,1,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",16,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-24,2021,0,TV-MA,Adult,1,Limited Series,"TV Dramas, TV Horror, TV Mysteries",3,Drama
Movie,My Little Pony: A New Generation,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.","Robert Cullen, José Luis Ucha",2,"Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",10,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-24,2021,0,PG,Family,91,Feature Film,Children & Family Movies,1,Family
Movie,Sankofa,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",Haile Gerima,1,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri",8,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",6,United States,North America,English,1993,1990,2021-09-24,2021,28,TV-MA,Adult,125,Feature Film,"Dramas, Independent Movies, International Movies",3,Drama
TV Show,The Great British Baking Show,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",Andy Devonshire,1,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",4,United Kingdom,1,United Kingdom,Europe,English,2021,2020,2021-09-24,2021,0,TV-14,Teen,9,Long-running Series,"British TV Shows, Reality TV",2,TV Shows
Movie,The Starling,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,Theodore Melfi,1,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",11,United States,1,United States,North America,English,2021,2020,2021-09-24,2021,0,PG-13,Teen,104,Feature Film,"Comedies, Dramas",2,Comedy
